dem,eleccion,sec,id_cas,ln,pe,pan,pri,prd,pvem,pt,mc,na,morena,ph,eas,pri_pvem,prd_pt,cnr,nulos,totales,max,2max,3max,marg_1_2,marg_p_1_2,mar_2_3,marg_p_2_3,part_p,pan_p,pri_p,prd_p,pvem_p,pt_p,mc_p,na_p,morena_p,ph_p,es_p,pri_pvem_p,prd_pt_p,cnr_p,nulos_p,totales_p,max_p,max2_p,max3_p,1er,2ndo,3er,coal_pan_p,coal_pri_pvem_p,coal_prd_pt_,coal_morena_p,coal_mc_p,coal_otros_,coal_totales_p,max_coal,max2_coal,max3_coal,1er_coal,2ndo_coal,3er_coal%
BENITO JUAREZ,2015,4327,4327-C1,695,720,102,23,39,16,3,16,6,67,3,16,1,2,1,14,309,102,67,39,35,0.1132686084,28,0.0906148867,0.4446043165,33.01%,7.44%,12.62%,5.18%,0.97%,5.18%,1.94%,21.68%,0.97%,5.18%,0.32%,0.65%,0.32%,4.53%,100.00%,33.01%,21.68%,12.62%,PAN,MORENA,PRD,33.01%,12.94%,14.24%,21.68%,5.18%,12.94%,100.00%,33.01%,21.68%,14.24%,PAN,MORENA,PRD_PT
BENITO JUAREZ,2015,4327,4327-C2,694,719,119,29,50,7,5,15,9,52,8,12,0,1,3,14,324,119,52,50,67,0.2067901235,2,0.0061728395,0.4668587896,36.73%,8.95%,15.43%,2.16%,1.54%,4.63%,2.78%,16.05%,2.47%,3.70%,0.00%,0.31%,0.93%,4.32%,100.00%,36.73%,16.05%,15.43%,PAN,MORENA,PRD,36.73%,11.11%,17.28%,16.05%,4.63%,14.20%,100.00%,36.73%,17.28%,16.05%,PAN,PRD_PT,MORENA
BENITO JUAREZ,2015,4328,4328-B,635,662,128,27,37,13,4,9,9,49,6,18,1,1,1,26,329,128,49,37,79,0.2401215805,12,0.0364741641,0.5181102362,38.91%,8.21%,11.25%,3.95%,1.22%,2.74%,2.74%,14.89%,1.82%,5.47%,0.30%,0.30%,0.30%,7.90%,100.00%,38.91%,14.89%,11.25%,PAN,MORENA,PRD,38.91%,12.46%,12.77%,14.89%,2.74%,18.24%,100.00%,38.91%,14.89%,12.77%,PAN,MORENA,PRD_PT
BENITO JUAREZ,2015,4329,4329-B,542,561,90,24,15,10,6,6,6,37,10,15,1,0,0,14,234,90,37,24,53,0.2264957265,13,0.0555555556,0.4317343173,38.46%,10.26%,6.41%,4.27%,2.56%,2.56%,2.56%,15.81%,4.27%,6.41%,0.43%,0.00%,0.00%,5.98%,100.00%,38.46%,15.81%,10.26%,PAN,MORENA,PRI,38.46%,14.96%,8.97%,15.81%,2.56%,19.23%,100.00%,38.46%,15.81%,14.96%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4329,4329-C1,542,561,72,19,29,6,0,9,6,45,9,11,0,2,1,17,226,72,45,29,27,0.1194690265,16,0.0707964602,0.4169741697,31.86%,8.41%,12.83%,2.65%,0.00%,3.98%,2.65%,19.91%,3.98%,4.87%,0.00%,0.88%,0.44%,7.52%,100.00%,31.86%,19.91%,12.83%,PAN,MORENA,PRD,31.86%,11.06%,13.72%,19.91%,3.98%,19.47%,100.00%,31.86%,19.91%,13.72%,PAN,MORENA,PRD_PT
BENITO JUAREZ,2015,4330,4330-B,576,597,113,28,12,12,4,10,4,42,5,4,0,1,1,22,258,113,42,28,71,0.2751937984,14,0.0542635659,0.4479166667,43.80%,10.85%,4.65%,4.65%,1.55%,3.88%,1.55%,16.28%,1.94%,1.55%,0.00%,0.39%,0.39%,8.53%,100.00%,43.80%,16.28%,10.85%,PAN,MORENA,PRI,43.80%,15.50%,6.59%,16.28%,3.88%,13.95%,100.00%,43.80%,16.28%,15.50%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4331,4331-B,670,693,134,31,29,13,1,11,6,49,10,17,1,1,0,27,330,134,49,31,85,0.2575757576,18,0.0545454545,0.4925373134,40.61%,9.39%,8.79%,3.94%,0.30%,3.33%,1.82%,14.85%,3.03%,5.15%,0.30%,0.30%,0.00%,8.18%,100.00%,40.61%,14.85%,9.39%,PAN,MORENA,PRI,40.61%,13.64%,9.39%,14.85%,3.33%,18.18%,100.00%,40.61%,14.85%,13.64%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4331,4331-C1,670,693,109,34,33,21,6,9,7,49,14,19,3,0,3,26,333,109,49,34,60,0.1801801802,15,0.0450450450,0.4970149254,32.73%,10.21%,9.91%,6.31%,1.80%,2.70%,2.10%,14.71%,4.20%,5.71%,0.90%,0.00%,0.90%,7.81%,100.00%,32.73%,14.71%,10.21%,PAN,MORENA,PRI,32.73%,17.42%,11.71%,14.71%,2.70%,20.72%,100.00%,32.73%,17.42%,14.71%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4332,4332-B,382,401,70,21,14,6,2,5,3,17,2,3,0,0,0,11,154,70,21,17,49,0.3181818182,4,0.0259740260,0.4031413613,45.45%,13.64%,9.09%,3.90%,1.30%,3.25%,1.95%,11.04%,1.30%,1.95%,0.00%,0.00%,0.00%,7.14%,100.00%,45.45%,13.64%,11.04%,PAN,PRI,MORENA,45.45%,17.53%,10.39%,11.04%,3.25%,12.34%,100.00%,45.45%,17.53%,11.04%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4332,4332-C1,381,400,58,28,10,4,3,6,2,25,7,5,0,0,0,13,161,58,28,25,30,0.1863354037,3,0.0186335404,0.4225721785,36.02%,17.39%,6.21%,2.48%,1.86%,3.73%,1.24%,15.53%,4.35%,3.11%,0.00%,0.00%,0.00%,8.07%,100.00%,36.02%,17.39%,15.53%,PAN,PRI,MORENA,36.02%,19.88%,8.07%,15.53%,3.73%,16.77%,100.00%,36.02%,19.88%,15.53%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4333,4333-B,513,529,89,17,18,11,5,14,4,34,9,6,1,1,1,19,229,89,34,18,55,0.2401746725,16,0.0698689956,0.4463937622,38.86%,7.42%,7.86%,4.80%,2.18%,6.11%,1.75%,14.85%,3.93%,2.62%,0.44%,0.44%,0.44%,8.30%,100.00%,38.86%,14.85%,7.86%,PAN,MORENA,PRD,38.86%,12.66%,10.48%,14.85%,6.11%,17.03%,100.00%,38.86%,14.85%,12.66%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4333,4333-C1,513,528,92,31,20,10,4,9,4,45,7,10,1,0,0,21,254,92,45,31,47,0.1850393701,14,0.0551181102,0.4951267057,36.22%,12.20%,7.87%,3.94%,1.57%,3.54%,1.57%,17.72%,2.76%,3.94%,0.39%,0.00%,0.00%,8.27%,100.00%,36.22%,17.72%,12.20%,PAN,MORENA,PRI,36.22%,16.54%,9.45%,17.72%,3.54%,16.54%,100.00%,36.22%,17.72%,16.54%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4334,4334-B,687,726,167,39,21,4,4,19,5,53,4,17,0,0,1,28,362,167,53,39,114,0.3149171271,14,0.0386740331,0.5269286754,46.13%,10.77%,5.80%,1.10%,1.10%,5.25%,1.38%,14.64%,1.10%,4.70%,0.00%,0.00%,0.28%,7.73%,100.00%,46.13%,14.64%,10.77%,PAN,MORENA,PRI,46.13%,11.88%,6.91%,14.64%,5.25%,15.19%,100.00%,46.13%,14.64%,11.88%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4334,4334-C1,687,726,139,31,11,9,3,12,5,45,7,12,2,0,2,31,309,139,45,31,94,0.3042071197,14,0.0453074434,0.4497816594,44.98%,10.03%,3.56%,2.91%,0.97%,3.88%,1.62%,14.56%,2.27%,3.88%,0.65%,0.00%,0.65%,10.03%,100.00%,44.98%,14.56%,10.03%,PAN,MORENA,PRI,44.98%,13.59%,4.53%,14.56%,3.88%,18.45%,100.00%,44.98%,14.56%,13.59%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4335,4335-B,667,704,127,37,29,7,5,8,3,43,5,16,0,0,1,15,296,127,43,37,84,0.2837837838,6,0.0202702703,0.4437781109,42.91%,12.50%,9.80%,2.36%,1.69%,2.70%,1.01%,14.53%,1.69%,5.41%,0.00%,0.00%,0.34%,5.07%,100.00%,42.91%,14.53%,12.50%,PAN,MORENA,PRI,42.91%,14.86%,11.49%,14.53%,2.70%,13.51%,100.00%,42.91%,14.86%,14.53%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4335,4335-C1,667,704,126,36,14,10,4,9,5,45,10,13,2,0,1,19,294,126,45,36,81,0.2755102041,9,0.0306122449,0.4407796102,42.86%,12.24%,4.76%,3.40%,1.36%,3.06%,1.70%,15.31%,3.40%,4.42%,0.68%,0.00%,0.34%,6.46%,100.00%,42.86%,15.31%,12.24%,PAN,MORENA,PRI,42.86%,16.33%,6.12%,15.31%,3.06%,16.33%,100.00%,42.86%,16.33%,15.31%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4336,4336-B,723,759,138,35,24,7,5,13,8,48,9,17,0,0,2,22,328,138,48,35,90,0.2743902439,13,0.0396341463,0.4536652835,42.07%,10.67%,7.32%,2.13%,1.52%,3.96%,2.44%,14.63%,2.74%,5.18%,0.00%,0.00%,0.61%,6.71%,100.00%,42.07%,14.63%,10.67%,PAN,MORENA,PRI,42.07%,12.80%,8.84%,14.63%,3.96%,17.68%,100.00%,42.07%,14.63%,12.80%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4336,4336-C1,722,759,146,60,18,8,4,17,2,65,8,9,0,0,0,21,358,146,65,60,81,0.2262569832,5,0.0139664804,0.4958448753,40.78%,16.76%,5.03%,2.23%,1.12%,4.75%,0.56%,18.16%,2.23%,2.51%,0.00%,0.00%,0.00%,5.87%,100.00%,40.78%,18.16%,16.76%,PAN,MORENA,PRI,40.78%,18.99%,6.15%,18.16%,4.75%,11.17%,100.00%,40.78%,18.99%,18.16%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4337,4337-B,599,627,129,26,16,10,3,12,2,34,9,12,1,0,1,16,271,129,34,26,95,0.3505535055,8,0.0295202952,0.4524207012,47.60%,9.59%,5.90%,3.69%,1.11%,4.43%,0.74%,12.55%,3.32%,4.43%,0.37%,0.00%,0.37%,5.90%,100.00%,47.60%,12.55%,9.59%,PAN,MORENA,PRI,47.60%,13.65%,7.01%,12.55%,4.43%,14.76%,100.00%,47.60%,13.65%,12.55%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4337,4337-C1,599,626,123,27,13,6,1,9,1,55,8,8,0,0,2,22,275,123,55,27,68,0.2472727273,28,0.1018181818,0.4590984975,44.73%,9.82%,4.73%,2.18%,0.36%,3.27%,0.36%,20.00%,2.91%,2.91%,0.00%,0.00%,0.73%,8.00%,100.00%,44.73%,20.00%,9.82%,PAN,MORENA,PRI,44.73%,12.00%,5.09%,20.00%,3.27%,14.91%,100.00%,44.73%,20.00%,12.00%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4338,4338-B,739,781,172,41,24,9,0,10,3,44,10,13,1,0,1,19,347,172,44,41,128,0.3688760807,3,0.0086455331,0.4695534506,49.57%,11.82%,6.92%,2.59%,0.00%,2.88%,0.86%,12.68%,2.88%,3.75%,0.29%,0.00%,0.29%,5.48%,100.00%,49.57%,12.68%,11.82%,PAN,MORENA,PRI,49.57%,14.70%,6.92%,12.68%,2.88%,13.26%,100.00%,49.57%,14.70%,12.68%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4338,4338-C1,738,780,130,43,17,6,2,11,6,40,5,15,0,0,0,38,313,130,43,40,87,0.2779552716,3,0.0095846645,0.4241192412,41.53%,13.74%,5.43%,1.92%,0.64%,3.51%,1.92%,12.78%,1.60%,4.79%,0.00%,0.00%,0.00%,12.14%,100.00%,41.53%,13.74%,12.78%,PAN,PRI,MORENA,41.53%,15.65%,6.07%,12.78%,3.51%,20.45%,100.00%,41.53%,15.65%,12.78%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4339,4339-B,709,749,95,39,24,16,2,12,2,50,19,19,0,0,4,30,312,95,50,39,45,0.1442307692,11,0.0352564103,0.4400564175,30.45%,12.50%,7.69%,5.13%,0.64%,3.85%,0.64%,16.03%,6.09%,6.09%,0.00%,0.00%,1.28%,9.62%,100.00%,30.45%,16.03%,12.50%,PAN,MORENA,PRI,30.45%,17.63%,8.33%,16.03%,3.85%,23.72%,100.00%,30.45%,17.63%,16.03%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4339,4339-C1,709,749,116,31,18,10,1,14,11,64,6,14,2,1,1,35,324,116,64,31,52,0.1604938272,33,0.1018518519,0.4569816643,35.80%,9.57%,5.56%,3.09%,0.31%,4.32%,3.40%,19.75%,1.85%,4.32%,0.62%,0.31%,0.31%,10.80%,100.00%,35.80%,19.75%,9.57%,PAN,MORENA,PRI,35.80%,13.27%,6.17%,19.75%,4.32%,20.68%,100.00%,35.80%,19.75%,13.27%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4340,4340-B,595,626,110,19,20,16,1,13,3,32,11,15,1,0,0,28,269,110,32,20,78,0.2899628253,12,0.0446096654,0.4521008403,40.89%,7.06%,7.43%,5.95%,0.37%,4.83%,1.12%,11.90%,4.09%,5.58%,0.37%,0.00%,0.00%,10.41%,100.00%,40.89%,11.90%,7.43%,PAN,MORENA,PRD,40.89%,13.38%,7.81%,11.90%,4.83%,21.19%,100.00%,40.89%,13.38%,11.90%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4340,4340-C1,594,625,102,30,14,11,2,18,4,39,7,14,2,0,0,27,270,102,39,30,63,0.2333333333,9,0.0333333333,0.4545454545,37.78%,11.11%,5.19%,4.07%,0.74%,6.67%,1.48%,14.44%,2.59%,5.19%,0.74%,0.00%,0.00%,10.00%,100.00%,37.78%,14.44%,11.11%,PAN,MORENA,PRI,37.78%,15.93%,5.93%,14.44%,6.67%,19.26%,100.00%,37.78%,15.93%,14.44%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4341,4341-B,648,675,138,27,12,12,5,9,3,55,10,12,0,0,3,18,304,138,55,27,83,0.2730263158,28,0.0921052632,0.4691358025,45.39%,8.88%,3.95%,3.95%,1.64%,2.96%,0.99%,18.09%,3.29%,3.95%,0.00%,0.00%,0.99%,5.92%,100.00%,45.39%,18.09%,8.88%,PAN,MORENA,PRI,45.39%,12.83%,5.59%,18.09%,2.96%,15.13%,100.00%,45.39%,18.09%,12.83%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4341,4341-C1,648,674,129,21,22,7,4,11,3,48,10,13,0,0,3,24,295,129,48,22,81,0.2745762712,26,0.0881355932,0.4552469136,43.73%,7.12%,7.46%,2.37%,1.36%,3.73%,1.02%,16.27%,3.39%,4.41%,0.00%,0.00%,1.02%,8.14%,100.00%,43.73%,16.27%,7.46%,PAN,MORENA,PRD,43.73%,9.49%,8.81%,16.27%,3.73%,17.97%,100.00%,43.73%,16.27%,9.49%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4342,4342-B,678,713,121,19,27,11,3,10,4,46,5,19,3,0,0,21,289,121,46,27,75,0.2595155709,19,0.0657439446,0.4262536873,41.87%,6.57%,9.34%,3.81%,1.04%,3.46%,1.38%,15.92%,1.73%,6.57%,1.04%,0.00%,0.00%,7.27%,100.00%,41.87%,15.92%,9.34%,PAN,MORENA,PRD,41.87%,11.42%,10.38%,15.92%,3.46%,16.96%,100.00%,41.87%,15.92%,11.42%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4342,4342-C1,677,713,122,20,20,2,7,15,9,53,10,10,1,0,4,23,296,122,53,20,69,0.2331081081,33,0.1114864865,0.4372230428,41.22%,6.76%,6.76%,0.68%,2.36%,5.07%,3.04%,17.91%,3.38%,3.38%,0.34%,0.00%,1.35%,7.77%,100.00%,41.22%,17.91%,6.76%,PAN,MORENA,PRI,41.22%,7.77%,9.12%,17.91%,5.07%,18.92%,100.00%,41.22%,17.91%,9.12%,PAN,MORENA,PRD_PT
BENITO JUAREZ,2015,4343,4343-B,539,568,109,32,11,7,1,14,6,27,7,10,0,0,1,21,246,109,32,27,77,0.3130081301,5,0.0203252033,0.4564007421,44.31%,13.01%,4.47%,2.85%,0.41%,5.69%,2.44%,10.98%,2.85%,4.07%,0.00%,0.00%,0.41%,8.54%,100.00%,44.31%,13.01%,10.98%,PAN,PRI,MORENA,44.31%,15.85%,4.88%,10.98%,5.69%,18.29%,100.00%,44.31%,15.85%,10.98%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4343,4343-C1,538,567,99,32,5,6,0,11,1,39,5,6,1,3,1,18,227,99,39,32,60,0.2643171806,7,0.0308370044,0.4219330855,43.61%,14.10%,2.20%,2.64%,0.00%,4.85%,0.44%,17.18%,2.20%,2.64%,0.44%,1.32%,0.44%,7.93%,100.00%,43.61%,17.18%,14.10%,PAN,MORENA,PRI,43.61%,17.18%,3.52%,17.18%,4.85%,13.66%,100.00%,43.61%,17.18%,17.18%,PAN,MORENA,MORENA
BENITO JUAREZ,2015,4344,4344-B,710,744,131,48,28,7,1,14,4,42,3,10,2,0,0,25,315,131,48,42,83,0.2634920635,6,0.0190476190,0.4436619718,41.59%,15.24%,8.89%,2.22%,0.32%,4.44%,1.27%,13.33%,0.95%,3.17%,0.63%,0.00%,0.00%,7.94%,100.00%,41.59%,15.24%,13.33%,PAN,PRI,MORENA,41.59%,18.10%,9.21%,13.33%,4.44%,13.33%,100.00%,41.59%,18.10%,13.33%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4344,4344-C1,709,744,146,47,17,11,3,13,4,48,8,9,0,0,2,26,334,146,48,47,98,0.2934131737,1,0.0029940120,0.4710860367,43.71%,14.07%,5.09%,3.29%,0.90%,3.89%,1.20%,14.37%,2.40%,2.69%,0.00%,0.00%,0.60%,7.78%,100.00%,43.71%,14.37%,14.07%,PAN,MORENA,PRI,43.71%,17.37%,5.99%,14.37%,3.89%,14.67%,100.00%,43.71%,17.37%,14.37%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4345,4345-B,572,604,142,16,14,4,0,14,4,38,4,14,0,0,0,22,272,142,38,16,104,0.3823529412,22,0.0808823529,0.4755244755,52.21%,5.88%,5.15%,1.47%,0.00%,5.15%,1.47%,13.97%,1.47%,5.15%,0.00%,0.00%,0.00%,8.09%,100.00%,52.21%,13.97%,5.88%,PAN,MORENA,PRI,52.21%,7.35%,5.15%,13.97%,5.15%,16.18%,100.00%,52.21%,13.97%,7.35%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4345,4345-C1,572,604,134,14,19,6,0,16,4,33,7,14,1,0,0,13,261,134,33,19,101,0.3869731801,14,0.0536398467,0.4562937063,51.34%,5.36%,7.28%,2.30%,0.00%,6.13%,1.53%,12.64%,2.68%,5.36%,0.38%,0.00%,0.00%,4.98%,100.00%,51.34%,12.64%,7.28%,PAN,MORENA,PRD,51.34%,8.05%,7.28%,12.64%,6.13%,14.56%,100.00%,51.34%,12.64%,8.05%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4345,4345-C2,571,603,100,28,16,5,4,10,2,50,7,13,0,0,0,22,257,100,50,28,50,0.1945525292,22,0.0856031128,0.4500875657,38.91%,10.89%,6.23%,1.95%,1.56%,3.89%,0.78%,19.46%,2.72%,5.06%,0.00%,0.00%,0.00%,8.56%,100.00%,38.91%,19.46%,10.89%,PAN,MORENA,PRI,38.91%,12.84%,7.78%,19.46%,3.89%,17.12%,100.00%,38.91%,19.46%,12.84%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4346,4346-B,555,592,105,20,23,10,1,12,1,42,7,9,0,0,1,25,256,105,42,23,63,0.2460937500,19,0.0742187500,0.4612612613,41.02%,7.81%,8.98%,3.91%,0.39%,4.69%,0.39%,16.41%,2.73%,3.52%,0.00%,0.00%,0.39%,9.77%,100.00%,41.02%,16.41%,8.98%,PAN,MORENA,PRD,41.02%,11.72%,9.38%,16.41%,4.69%,16.80%,100.00%,41.02%,16.41%,11.72%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4346,4346-C1,555,592,85,32,18,13,3,17,2,42,8,5,0,0,3,31,259,85,42,32,43,0.1660231660,10,0.0386100386,0.4666666667,32.82%,12.36%,6.95%,5.02%,1.16%,6.56%,0.77%,16.22%,3.09%,1.93%,0.00%,0.00%,1.16%,11.97%,100.00%,32.82%,16.22%,12.36%,PAN,MORENA,PRI,32.82%,17.37%,8.11%,16.22%,6.56%,18.92%,100.00%,32.82%,17.37%,16.22%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4347,4347-B,522,546,90,18,12,9,3,16,5,32,11,10,0,0,1,17,224,90,32,18,58,0.2589285714,14,0.0625000000,0.4291187739,40.18%,8.04%,5.36%,4.02%,1.34%,7.14%,2.23%,14.29%,4.91%,4.46%,0.00%,0.00%,0.45%,7.59%,100.00%,40.18%,14.29%,8.04%,PAN,MORENA,PRI,40.18%,12.05%,6.70%,14.29%,7.14%,19.64%,100.00%,40.18%,14.29%,12.05%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4347,4347-C1,521,546,94,32,14,8,2,16,2,50,6,10,0,0,0,14,248,94,50,32,44,0.1774193548,18,0.0725806452,0.4760076775,37.90%,12.90%,5.65%,3.23%,0.81%,6.45%,0.81%,20.16%,2.42%,4.03%,0.00%,0.00%,0.00%,5.65%,100.00%,37.90%,20.16%,12.90%,PAN,MORENA,PRI,37.90%,16.13%,6.45%,20.16%,6.45%,12.90%,100.00%,37.90%,20.16%,16.13%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4347,4347-C2,521,546,97,22,13,1,1,11,2,37,13,7,0,0,3,14,221,97,37,22,60,0.2714932127,15,0.0678733032,0.4241842610,43.89%,9.95%,5.88%,0.45%,0.45%,4.98%,0.90%,16.74%,5.88%,3.17%,0.00%,0.00%,1.36%,6.33%,100.00%,43.89%,16.74%,9.95%,PAN,MORENA,PRI,43.89%,10.41%,6.33%,16.74%,4.98%,17.65%,100.00%,43.89%,16.74%,10.41%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4348,4348-B,744,782,139,32,20,9,3,9,5,45,7,7,0,0,3,36,315,139,45,32,94,0.2984126984,13,0.0412698413,0.4233870968,44.13%,10.16%,6.35%,2.86%,0.95%,2.86%,1.59%,14.29%,2.22%,2.22%,0.00%,0.00%,0.95%,11.43%,100.00%,44.13%,14.29%,10.16%,PAN,MORENA,PRI,44.13%,13.02%,7.30%,14.29%,2.86%,18.41%,100.00%,44.13%,14.29%,13.02%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4348,4348-C1,744,781,168,42,14,11,3,15,5,64,9,11,0,0,0,29,371,168,64,42,104,0.2803234501,22,0.0592991914,0.4986559140,45.28%,11.32%,3.77%,2.96%,0.81%,4.04%,1.35%,17.25%,2.43%,2.96%,0.00%,0.00%,0.00%,7.82%,100.00%,45.28%,17.25%,11.32%,PAN,MORENA,PRI,45.28%,14.29%,4.58%,17.25%,4.04%,14.56%,100.00%,45.28%,17.25%,14.29%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4349,4349-B,532,561,113,24,11,12,2,12,5,42,5,8,1,0,2,25,262,113,42,24,71,0.2709923664,18,0.0687022901,0.4924812030,43.13%,9.16%,4.20%,4.58%,0.76%,4.58%,1.91%,16.03%,1.91%,3.05%,0.38%,0.00%,0.76%,9.54%,100.00%,43.13%,16.03%,9.16%,PAN,MORENA,PRI,43.13%,14.12%,4.96%,16.03%,4.58%,17.18%,100.00%,43.13%,16.03%,14.12%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4349,4349-C1,531,560,124,27,15,8,0,9,3,41,3,11,0,0,1,23,265,124,41,27,83,0.3132075472,14,0.0528301887,0.4990583804,46.79%,10.19%,5.66%,3.02%,0.00%,3.40%,1.13%,15.47%,1.13%,4.15%,0.00%,0.00%,0.38%,8.68%,100.00%,46.79%,15.47%,10.19%,PAN,MORENA,PRI,46.79%,13.21%,5.66%,15.47%,3.40%,15.47%,100.00%,46.79%,15.47%,13.21%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4350,4350-B,645,680,139,24,28,7,6,10,4,26,6,11,0,0,0,15,276,139,28,26,111,0.4021739130,2,0.0072463768,0.4279069767,50.36%,8.70%,10.14%,2.54%,2.17%,3.62%,1.45%,9.42%,2.17%,3.99%,0.00%,0.00%,0.00%,5.43%,100.00%,50.36%,10.14%,9.42%,PAN,PRD,MORENA,50.36%,11.23%,12.32%,9.42%,3.62%,13.04%,100.00%,50.36%,12.32%,11.23%,PAN,PRD_PT,PRI_PVEM
BENITO JUAREZ,2015,4350,4350-C1,645,680,130,28,17,9,0,13,3,32,9,15,1,1,0,25,283,130,32,28,98,0.3462897527,4,0.0141342756,0.4387596899,45.94%,9.89%,6.01%,3.18%,0.00%,4.59%,1.06%,11.31%,3.18%,5.30%,0.35%,0.35%,0.00%,8.83%,100.00%,45.94%,11.31%,9.89%,PAN,MORENA,PRI,45.94%,13.43%,6.36%,11.31%,4.59%,18.37%,100.00%,45.94%,13.43%,11.31%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4351,4351-B,492,527,95,27,6,6,1,9,1,23,5,3,0,0,2,19,197,95,27,23,68,0.3451776650,4,0.0203045685,0.4004065041,48.22%,13.71%,3.05%,3.05%,0.51%,4.57%,0.51%,11.68%,2.54%,1.52%,0.00%,0.00%,1.02%,9.64%,100.00%,48.22%,13.71%,11.68%,PAN,PRI,MORENA,48.22%,16.75%,3.55%,11.68%,4.57%,15.23%,100.00%,48.22%,16.75%,11.68%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4351,4351-C1,492,526,110,31,6,5,1,6,5,25,7,7,0,0,2,13,218,110,31,25,79,0.3623853211,6,0.0275229358,0.4430894309,50.46%,14.22%,2.75%,2.29%,0.46%,2.75%,2.29%,11.47%,3.21%,3.21%,0.00%,0.00%,0.92%,5.96%,100.00%,50.46%,14.22%,11.47%,PAN,PRI,MORENA,50.46%,16.51%,3.21%,11.47%,2.75%,15.60%,100.00%,50.46%,16.51%,11.47%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4352,4352-B,740,777,164,24,25,10,4,9,3,36,5,11,1,0,1,35,328,164,36,25,128,0.3902439024,11,0.0335365854,0.4432432432,50.00%,7.32%,7.62%,3.05%,1.22%,2.74%,0.91%,10.98%,1.52%,3.35%,0.30%,0.00%,0.30%,10.67%,100.00%,50.00%,10.98%,7.62%,PAN,MORENA,PRD,50.00%,10.67%,8.84%,10.98%,2.74%,16.77%,100.00%,50.00%,10.98%,10.67%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4352,4352-C1,740,777,155,34,23,9,0,13,2,45,0,10,2,0,1,24,318,155,45,34,110,0.3459119497,11,0.0345911950,0.4297297297,48.74%,10.69%,7.23%,2.83%,0.00%,4.09%,0.63%,14.15%,0.00%,3.14%,0.63%,0.00%,0.31%,7.55%,100.00%,48.74%,14.15%,10.69%,PAN,MORENA,PRI,48.74%,14.15%,7.23%,14.15%,4.09%,11.64%,100.00%,48.74%,14.15%,14.15%,PAN,MORENA,MORENA
